,T,spd,pwr,g_1,g_2,g_3
137,282,1.6,6.8,5.7659,9900000000.0,9900000000.0
138,284,1.6,6.5,5.7267,9900000000.0,9900000000.0
139,286,1.6,6.1,5.6654,9900000000.0,9900000000.0
140,289,1.6,8.0,5.5989,9900000000.0,9900000000.0
141,291,1.6,6.8,5.5728,9900000000.0,9900000000.0
142,293,1.6,6.1,5.5376,9900000000.0,9900000000.0
143,295,1.6,6.1,5.5023,9900000000.0,9900000000.0
144,297,1.6,6.5,5.4723,9900000000.0,9900000000.0
145,299,1.6,8.0,5.4019,9900000000.0,9900000000.0
146,301,1.6,6.1,5.3666,9900000000.0,9900000000.0
147,303,1.6,7.5,5.3406,9900000000.0,9900000000.0
148,305,1.6,6.1,5.3014,9900000000.0,9900000000.0
149,307,1.6,6.1,5.3014,9900000000.0,9900000000.0
150,309,1.6,8.2,5.2714,9900000000.0,9900000000.0
151,311,1.6,4.7,5.2049,9900000000.0,9900000000.0
152,313,1.6,7.0,5.1749,9900000000.0,9900000000.0
153,315,1.6,8.2,5.1083,9900000000.0,9900000000.0
154,317,1.6,7.0,5.1083,9900000000.0,9900000000.0
155,319,1.6,7.3,5.0431,9900000000.0,9900000000.0
156,321,1.6,8.0,5.0079,9900000000.0,9900000000.0
157,323,1.6,6.1,4.9726,9900000000.0,9900000000.0
158,326,1.6,6.5,4.9426,9900000000.0,9900000000.0
159,328,1.6,6.1,4.9165,9900000000.0,9900000000.0
160,330,1.6,6.1,4.8813,9900000000.0,9900000000.0
161,332,1.6,5.4,4.8546,9900000000.0,9900000000.0
162,334,1.6,6.1,4.8546,9900000000.0,9900000000.0
163,336,1.6,6.1,4.8546,9900000000.0,9900000000.0
164,338,1.6,7.5,4.8282,9900000000.0,9900000000.0
165,340,1.6,5.4,4.7823,9900000000.0,9900000000.0
166,342,1.6,6.5,4.756,9900000000.0,9900000000.0
167,344,1.6,6.5,4.756,9900000000.0,9900000000.0
168,346,1.6,8.2,4.7364,9900000000.0,9900000000.0
